Num_Matrices	Median_Transfer_Time_ms
1	0.005280
11	0.003040
21	0.003072
31	0.002976
41	0.002944
51	0.003008
61	0.003216
71	0.003072
81	0.002448
91	0.003200
101	0.002560
111	0.002944
121	0.002816
131	0.003024
141	0.003104
151	0.003232
161	0.003360
171	0.003520
181	0.003648
191	0.003776
201	0.003936
211	0.004064
221	0.004224
231	0.004320
241	0.004448
251	0.004608
261	0.004768
271	0.004896
281	0.005024
291	0.005184
301	0.005344
311	0.005440
321	0.005600
331	0.005728
341	0.005888
351	0.006016
361	0.006144
371	0.006304
381	0.006432
391	0.006576
401	0.006688
411	0.006848
421	0.006976
431	0.007136
441	0.007264
451	0.007424
461	0.007552
471	0.007680
481	0.007808
491	0.007968
501	0.008096
511	0.008256
521	0.008384
531	0.008576
541	0.008640
551	0.008800
561	0.008960
571	0.009120
581	0.009216
591	0.009376
601	0.009536
611	0.009664
621	0.009792
631	0.009920
641	0.010048
651	0.010208
661	0.010336
671	0.010464
681	0.010624
691	0.010784
701	0.010880
711	0.011040
721	0.011168
731	0.011328
741	0.011456
751	0.011616
761	0.011776
771	0.011872
781	0.012032
791	0.012160
801	0.012320
811	0.012416
821	0.012576
831	0.012704
841	0.012896
851	0.012992
861	0.013152
871	0.013280
881	0.013424
891	0.013536
901	0.013696
911	0.013824
921	0.013984
931	0.014112
941	0.014272
951	0.014400
961	0.014528
971	0.014656
981	0.014816
991	0.014944
1001	0.015104
1011	0.015232
1021	0.015360
1031	0.015520
1041	0.015648
1051	0.015776
1061	0.015920
1071	0.016064
1081	0.016192
1091	0.016352
1101	0.016480
1111	0.016640
1121	0.016768
1131	0.016896
1141	0.017024
1151	0.017184
1161	0.017312
1171	0.017472
1181	0.017600
1191	0.017760
1201	0.017888
1211	0.018016
1221	0.018176
1231	0.018336
1241	0.018464
1251	0.018592
1261	0.018736
1271	0.018880
1281	0.019008
1291	0.019136
1301	0.019296
1311	0.019440
1321	0.019584
1331	0.019712
1341	0.019840
1351	0.020000
1361	0.020128
1371	0.020256
1381	0.020416
1391	0.020544
1401	0.020672
1411	0.020800
1421	0.020960
1431	0.021088
1441	0.021232
1451	0.021376
1461	0.021536
1471	0.021664
1481	0.021824
1491	0.021952
1501	0.022112
1511	0.022240
1521	0.022368
1531	0.022496
1541	0.022656
1551	0.022784
1561	0.022912
1571	0.023040
1581	0.023232
1591	0.023328
1601	0.023456
1611	0.023616
1621	0.023776
1631	0.023904
1641	0.024064
1651	0.024192
1661	0.024320
1671	0.024448
1681	0.024608
1691	0.024736
1701	0.024864
1711	0.025024
1721	0.025152
1731	0.025312
1741	0.025440
1751	0.025568
1761	0.025728
1771	0.025856
1781	0.025984
1791	0.026112
1801	0.026272
1811	0.026432
1821	0.026560
1831	0.026720
1841	0.026848
1851	0.026976
1861	0.027136
1871	0.027264
1881	0.027424
1891	0.027552
1901	0.027680
1911	0.027808
1921	0.027968
1931	0.028096
1941	0.028224
1951	0.028352
1961	0.028512
1971	0.028640
1981	0.028800
1991	0.028928
2001	0.029056
2011	0.029184
2021	0.029344
2031	0.029472
2041	0.029632
2051	0.029760
2061	0.029888
2071	0.030048
2081	0.030208
2091	0.030336
2101	0.030464
2111	0.030656
2121	0.030784
2131	0.030880
2141	0.031040
2151	0.031168
2161	0.031328
2171	0.031456
2181	0.031584
2191	0.031712
2201	0.031872
2211	0.032000
2221	0.032144
2231	0.032288
2241	0.032416
2251	0.032544
2261	0.032704
2271	0.032832
2281	0.032992
2291	0.033120
2301	0.033632
2311	0.033808
2321	0.033952
2331	0.034064
2341	0.034208
2351	0.034368
2361	0.034496
2371	0.034624
2381	0.034752
2391	0.034912
2401	0.035072
2411	0.035168
2421	0.035296
2431	0.035488
2441	0.035584
2451	0.035744
2461	0.035872
2471	0.036064
2481	0.036352
2491	0.036320
2501	0.036448
2511	0.036608
2521	0.036736
2531	0.036864
2541	0.037024
2551	0.037152
2561	0.037248
2571	0.037408
2581	0.037536
2591	0.037696
2601	0.037824
2611	0.037952
2621	0.038112
2631	0.038272
2641	0.038400
2651	0.038528
2661	0.038688
2671	0.038816
2681	0.038944
2691	0.039072
2701	0.039232
2711	0.039392
2721	0.039520
2731	0.039648
2741	0.039808
2751	0.039936
2761	0.040096
2771	0.040224
2781	0.040384
2791	0.040544
2801	0.040608
2811	0.040768
2821	0.040928
2831	0.041056
2841	0.041184
2851	0.041344
2861	0.041488
2871	0.041600
2881	0.041728
2891	0.041888
2901	0.042048
2911	0.042144
2921	0.042304
2931	0.042432
2941	0.042592
2951	0.042720
2961	0.042848
2971	0.043008
2981	0.043136
