Num_Matrices	Median_Transfer_Time_ms
1	0.011696
11	0.006336
21	0.006336
31	0.006976
41	0.007200
51	0.006976
61	0.007536
71	0.017232
81	0.017344
91	0.017520
101	0.017696
111	0.018224
121	0.018320
131	0.018400
141	0.018528
151	0.018912
161	0.019280
171	0.019296
181	0.019648
191	0.019792
201	0.020304
211	0.020160
221	0.020464
231	0.020912
241	0.021120
251	0.021488
261	0.021648
271	0.022000
281	0.021952
291	0.022544
301	0.022688
311	0.022784
321	0.023120
331	0.023344
341	0.023536
351	0.024160
361	0.024096
371	0.024656
381	0.024496
391	0.025216
401	0.025296
411	0.025520
421	0.025792
431	0.025840
441	0.025920
451	0.026400
461	0.026544
471	0.026688
481	0.027344
491	0.027232
501	0.027664
511	0.027728
521	0.027776
531	0.028400
541	0.028784
551	0.028896
561	0.029088
571	0.029232
581	0.029568
591	0.029984
601	0.030032
611	0.030304
621	0.030512
631	0.030880
641	0.031200
651	0.031024
661	0.030912
671	0.031616
681	0.031616
691	0.032048
701	0.032128
711	0.032528
721	0.032656
731	0.032640
741	0.033216
751	0.033408
761	0.033584
771	0.033888
781	0.034224
791	0.034656
801	0.035120
811	0.034480
821	0.035008
831	0.035424
841	0.035344
851	0.035520
861	0.036112
871	0.036560
881	0.036528
891	0.037072
901	0.036928
911	0.037152
921	0.037408
931	0.037760
941	0.037808
951	0.038112
961	0.038480
971	0.038784
981	0.038784
991	0.039200
1001	0.039424
1011	0.039472
1021	0.040144
1031	0.040192
1041	0.040560
1051	0.040672
1061	0.041200
1071	0.041088
1081	0.041120
1091	0.041696
1101	0.041936
1111	0.042272
1121	0.042224
1131	0.042640
1141	0.042640
1151	0.043280
1161	0.043392
1171	0.043424
1181	0.043776
1191	0.044112
1201	0.044512
1211	0.044688
1221	0.044912
1231	0.045040
1241	0.045232
1251	0.045680
1261	0.045888
1271	0.046256
1281	0.046496
1291	0.046688
1301	0.046704
1311	0.047120
1321	0.047168
1331	0.047664
1341	0.047968
1351	0.048400
1361	0.048416
1371	0.048640
1381	0.048896
1391	0.049024
1401	0.049536
1411	0.049376
1421	0.049680
1431	0.050160
1441	0.050464
1451	0.050592
1461	0.050672
1471	0.050992
1481	0.051280
1491	0.051440
1501	0.051712
1511	0.051872
1521	0.051936
1531	0.052208
1541	0.053040
1551	0.052880
1561	0.053152
1571	0.053328
1581	0.053680
1591	0.054064
1601	0.054144
1611	0.054368
1621	0.054688
1631	0.054816
1641	0.055376
1651	0.055600
1661	0.055632
1671	0.056016
1681	0.056288
1691	0.056256
1701	0.056752
1711	0.057056
1721	0.057152
1731	0.057472
1741	0.057776
1751	0.058160
1761	0.057904
1771	0.058640
1781	0.058560
1791	0.058704
1801	0.058848
1811	0.059248
1821	0.059696
1831	0.060192
1841	0.060240
1851	0.060192
1861	0.060800
1871	0.060960
1881	0.061232
1891	0.061200
1901	0.061712
1911	0.061664
1921	0.062000
1931	0.062480
1941	0.062480
1951	0.062848
1961	0.063280
1971	0.063792
1981	0.063648
1991	0.063728
2001	0.064208
2011	0.064528
2021	0.064608
2031	0.064544
2041	0.065104
2051	0.065360
2061	0.065664
2071	0.065888
2081	0.065616
2091	0.066080
2101	0.066112
2111	0.067136
2121	0.066960
2131	0.067360
2141	0.067296
2151	0.067744
2161	0.068144
2171	0.068160
2181	0.068736
2191	0.068688
2201	0.069248
2211	0.069264
2221	0.069344
2231	0.069776
2241	0.070000
2251	0.070240
2261	0.070576
2271	0.070944
2281	0.070976
2291	0.071024
2301	0.071072
2311	0.071808
2321	0.071952
2331	0.072176
2341	0.072320
2351	0.073200
2361	0.072928
2371	0.073136
2381	0.073408
2391	0.073824
2401	0.074096
2411	0.074048
2421	0.074528
2431	0.074736
2441	0.075152
2451	0.075328
2461	0.075632
2471	0.075696
2481	0.076288
2491	0.076064
2501	0.076576
2511	0.076768
2521	0.077024
2531	0.077088
2541	0.077632
2551	0.078048
2561	0.077744
2571	0.078272
2581	0.078320
2591	0.078672
2601	0.079152
2611	0.079376
2621	0.079392
2631	0.079936
2641	0.079696
2651	0.080256
2661	0.080416
2671	0.080864
2681	0.081024
2691	0.081072
2701	0.081328
2711	0.081488
2721	0.082192
2731	0.082352
2741	0.082768
2751	0.082704
2761	0.083024
2771	0.083408
2781	0.083264
2791	0.083856
2801	0.083856
2811	0.084032
2821	0.084560
2831	0.084720
2841	0.085104
2851	0.084928
2861	0.085504
2871	0.085680
2881	0.085616
2891	0.085984
2901	0.086304
2911	0.086576
2921	0.086752
2931	0.087408
2941	0.087376
2951	0.087648
2961	0.087824
2971	0.088096
2981	0.088400
2991	0.088352
3001	0.088960
3011	0.089088
3021	0.089184
3031	0.089856
3041	0.089696
3051	0.090176
3061	0.090048
3071	0.090640
3081	0.090944
3091	0.091120
3101	0.091552
3111	0.091664
3121	0.091616
3131	0.091728
3141	0.092000
3151	0.092544
3161	0.092672
3171	0.093376
3181	0.093264
3191	0.093776
3201	0.093744
3211	0.094160
3221	0.094336
3231	0.094592
3241	0.094640
3251	0.095152
3261	0.095344
3271	0.095696
3281	0.095824
3291	0.095824
3301	0.096320
3311	0.096320
3321	0.096496
3331	0.096864
3341	0.097104
3351	0.097600
3361	0.097792
3371	0.097744
3381	0.098208
3391	0.098304
3401	0.098384
3411	0.099088
3421	0.099104
3431	0.099136
3441	0.099536
3451	0.099760
3461	0.099904
3471	0.100048
3481	0.100688
3491	0.101040
3501	0.101216
3511	0.101408
3521	0.101648
3531	0.101552
3541	0.101664
3551	0.102336
3561	0.102368
3571	0.102864
3581	0.103184
3591	0.103312
3601	0.103328
3611	0.103840
3621	0.104288
3631	0.104240
3641	0.104384
3651	0.104736
3661	0.104992
3671	0.105120
3681	0.105632
3691	0.105776
3701	0.105728
3711	0.106224
3721	0.106880
3731	0.107008
3741	0.106976
3751	0.106976
3761	0.107632
3771	0.107536
3781	0.108112
3791	0.108608
3801	0.108608
3811	0.108592
3821	0.108864
3831	0.108864
3841	0.109040
3851	0.109712
3861	0.109552
3871	0.110592
3881	0.110384
3891	0.110432
3901	0.110720
3911	0.111056
3921	0.111152
3931	0.111456
3941	0.111568
3951	0.112016
3961	0.112256
3971	0.112480
3981	0.112864
3991	0.112592
4001	0.113520
4011	0.113216
4021	0.113584
4031	0.113824
4041	0.114176
4051	0.114384
4061	0.114704
4071	0.114832
4081	0.115280
4091	0.115312
4101	0.115632
4111	0.116128
4121	0.116016
4131	0.116640
4141	0.116880
4151	0.116896
4161	0.116976
4171	0.117120
4181	0.117744
4191	0.117936
4201	0.118096
4211	0.118576
4221	0.118448
4231	0.118864
4241	0.119088
4251	0.119440
4261	0.119456
4271	0.120368
4281	0.120032
4291	0.120352
4301	0.120704
4311	0.121040
4321	0.121056
4331	0.121376
4341	0.121696
4351	0.121920
4361	0.122176
4371	0.122208
4381	0.122512
4391	0.123232
