Num_Matrices	Median_Transfer_Time_ms
1	0.010960
11	0.006112
21	0.005824
31	0.005760
41	0.006080
51	0.006112
61	0.006432
71	0.006048
81	0.005888
91	0.006144
101	0.006144
111	0.006336
121	0.006240
131	0.006448
141	0.006400
151	0.006592
161	0.006560
171	0.006784
181	0.006720
191	0.006912
201	0.006880
211	0.007168
221	0.006992
231	0.007104
241	0.007200
251	0.007232
261	0.007264
271	0.007360
281	0.007440
291	0.007536
301	0.007600
311	0.007616
321	0.007728
331	0.007808
341	0.007840
351	0.007904
361	0.008160
371	0.008080
381	0.008256
391	0.008192
401	0.008416
411	0.008352
421	0.008544
431	0.008480
441	0.008688
451	0.008608
461	0.008864
471	0.008768
481	0.008992
491	0.008960
501	0.009120
511	0.009056
521	0.009312
531	0.009248
541	0.009312
551	0.009408
561	0.009520
571	0.009536
581	0.009568
591	0.009728
601	0.009712
611	0.009776
621	0.009920
631	0.009920
641	0.010000
651	0.010080
661	0.010112
671	0.010240
681	0.010304
691	0.010496
701	0.010400
711	0.010656
721	0.010592
731	0.010752
741	0.010752
751	0.010976
761	0.010880
771	0.011072
781	0.011008
791	0.011200
801	0.011136
811	0.011392
821	0.011264
831	0.011552
841	0.011456
851	0.011712
861	0.011600
871	0.011696
881	0.011744
891	0.011840
901	0.011840
911	0.012000
921	0.012032
931	0.012176
941	0.012128
951	0.012224
961	0.012304
971	0.012384
981	0.012416
991	0.012496
1001	0.012800
1011	0.012704
1021	0.012864
1031	0.012800
1041	0.013024
1051	0.012992
1061	0.013184
1071	0.013120
1081	0.013344
1091	0.013216
1101	0.013456
1111	0.013376
1121	0.013664
1131	0.013568
1141	0.013728
1151	0.013664
1161	0.013984
1171	0.013904
1181	0.013952
1191	0.014016
1201	0.014176
1211	0.014112
1221	0.014240
1231	0.014304
1241	0.014416
1251	0.014480
1261	0.014528
1271	0.014560
1281	0.014624
1291	0.014720
1301	0.014752
1311	0.014880
1321	0.014960
1331	0.015136
1341	0.015104
1351	0.015264
1361	0.015216
1371	0.015376
1381	0.015360
1391	0.015616
1401	0.015520
1411	0.015744
1421	0.015648
1431	0.015808
1441	0.015744
1451	0.016032
1461	0.015936
1471	0.016160
1481	0.016128
1491	0.016384
1501	0.016224
1511	0.016288
1521	0.016352
1531	0.016448
1541	0.016576
1551	0.016640
1561	0.016640
1571	0.016736
1581	0.016800
1591	0.016880
1601	0.016944
1611	0.017024
1621	0.017040
1631	0.017152
1641	0.017344
1651	0.017344
1661	0.017488
1671	0.017472
1681	0.017632
1691	0.017584
1701	0.017824
1711	0.017744
1721	0.017952
1731	0.017856
1741	0.018128
1751	0.018016
1761	0.018256
1771	0.018176
1781	0.018368
1791	0.018304
1801	0.018560
1811	0.018496
1821	0.018576
1831	0.018656
1841	0.018752
1851	0.018752
1861	0.018944
1871	0.018944
1881	0.018944
1891	0.019008
1901	0.019168
1911	0.019136
1921	0.019200
1931	0.019328
1941	0.019360
1951	0.019424
1961	0.019520
1971	0.019712
1981	0.019712
1991	0.019872
2001	0.019840
2011	0.019968
2021	0.020000
2031	0.020176
2041	0.020112
2051	0.020320
2061	0.020256
2071	0.020480
2081	0.020416
2091	0.020656
2101	0.020544
2111	0.020768
2121	0.020736
2131	0.021664
2141	0.021408
2151	0.021504
2161	0.021472
2171	0.021664
2181	0.021696
2191	0.021792
2201	0.021856
2211	0.021920
2221	0.021920
2231	0.022112
2241	0.022112
2251	0.022240
2261	0.022208
2271	0.022304
2281	0.022528
2291	0.022528
2301	0.022976
2311	0.022848
2321	0.023008
2331	0.022832
2341	0.023136
2351	0.023040
2361	0.023264
2371	0.023200
2381	0.023472
2391	0.023360
2401	0.023584
2411	0.023424
2421	0.023616
2431	0.023632
2441	0.023872
2451	0.023776
2461	0.024080
2471	0.024192
2481	0.024672
2491	0.024128
2501	0.024208
2511	0.024320
2521	0.024400
2531	0.024416
2541	0.024480
2551	0.024608
2561	0.024736
2571	0.024768
2581	0.024816
2591	0.024960
