Num_Matrices	Median_Transfer_Time_ms
1	0.010160
11	0.007552
21	0.007104
31	0.006752
41	0.006560
51	0.006720
61	0.007312
71	0.007648
81	0.007056
91	0.007280
101	0.007856
111	0.008048
121	0.008304
131	0.008496
141	0.008896
151	0.009168
161	0.009600
171	0.009856
181	0.010128
191	0.010432
201	0.010688
211	0.011072
221	0.011648
231	0.011680
241	0.011888
251	0.012368
261	0.012816
271	0.013088
281	0.013264
291	0.013568
301	0.013856
311	0.014224
321	0.014448
331	0.014832
341	0.015328
351	0.015488
361	0.015488
371	0.016064
381	0.016208
391	0.016432
401	0.016672
411	0.017072
421	0.017664
431	0.017792
441	0.018096
451	0.018272
461	0.018784
471	0.019376
481	0.019328
491	0.019936
501	0.019904
511	0.020480
521	0.020784
531	0.020976
541	0.021424
551	0.021536
561	0.021584
571	0.021952
581	0.022528
591	0.022720
601	0.023136
611	0.023728
621	0.023840
631	0.023872
641	0.024304
651	0.024656
661	0.025008
671	0.025104
681	0.025312
691	0.026000
701	0.026192
711	0.026240
721	0.027056
731	0.027008
741	0.027520
751	0.027840
761	0.027840
771	0.028352
781	0.028608
791	0.028864
801	0.029056
811	0.029456
821	0.030064
831	0.030128
841	0.030320
851	0.030928
861	0.031152
871	0.031536
881	0.031552
891	0.032384
901	0.032272
911	0.032784
921	0.033136
931	0.033696
941	0.033696
951	0.033696
961	0.034416
971	0.034624
981	0.034976
991	0.035248
1001	0.035248
1011	0.035728
1021	0.036320
1031	0.036384
1041	0.036704
1051	0.036816
1061	0.037360
1071	0.037792
1081	0.037760
1091	0.038256
1101	0.038352
1111	0.038752
1121	0.039184
1131	0.039568
1141	0.040032
1151	0.040096
1161	0.040112
1171	0.040656
1181	0.041232
1191	0.041024
1201	0.041424
1211	0.041792
1221	0.042448
1231	0.042448
1241	0.043296
1251	0.043104
1261	0.043760
1271	0.043680
1281	0.044080
1291	0.044480
1301	0.044928
1311	0.044960
1321	0.045104
1331	0.045584
1341	0.046224
1351	0.046448
1361	0.046528
1371	0.046896
1381	0.047200
1391	0.047680
1401	0.047840
1411	0.048304
1421	0.048336
1431	0.048608
1441	0.049072
1451	0.049296
1461	0.049472
1471	0.049728
1481	0.050048
1491	0.050592
1501	0.050912
1511	0.050976
1521	0.051024
1531	0.051952
1541	0.052384
1551	0.052848
1561	0.052864
1571	0.053200
1581	0.053888
1591	0.053696
1601	0.054320
1611	0.054608
1621	0.055040
1631	0.055328
1641	0.055344
1651	0.055776
1661	0.055776
1671	0.056448
1681	0.056816
1691	0.057024
1701	0.057536
1711	0.057520
1721	0.058112
1731	0.057952
1741	0.058720
1751	0.058784
1761	0.059248
1771	0.058992
1781	0.059616
1791	0.059904
1801	0.060176
1811	0.060560
1821	0.060800
1831	0.061008
1841	0.061280
1851	0.061792
1861	0.062544
1871	0.062688
1881	0.062656
1891	0.062960
1901	0.063568
1911	0.063376
1921	0.063824
1931	0.064256
1941	0.064544
1951	0.064608
1961	0.064960
1971	0.065632
1981	0.066032
1991	0.065824
2001	0.066224
2011	0.066688
2021	0.066960
2031	0.067040
2041	0.067632
2051	0.067680
2061	0.068192
2071	0.068368
2081	0.068928
2091	0.069184
2101	0.069328
2111	0.069984
2121	0.069904
2131	0.071008
2141	0.071152
2151	0.071472
2161	0.071680
2171	0.072560
2181	0.072432
2191	0.072720
2201	0.072944
2211	0.072960
2221	0.073584
2231	0.074096
2241	0.074000
2251	0.074336
2261	0.074672
2271	0.075216
2281	0.075088
2291	0.075520
2301	0.076064
2311	0.076336
2321	0.076976
2331	0.076864
2341	0.077552
2351	0.077888
2361	0.078032
2371	0.078064
2381	0.078624
2391	0.078784
2401	0.079136
2411	0.079376
2421	0.079712
2431	0.079872
2441	0.080736
2451	0.081264
2461	0.081040
2471	0.081520
2481	0.082208
2491	0.082016
2501	0.082368
2511	0.082672
2521	0.082896
2531	0.083200
2541	0.083504
2551	0.083536
2561	0.084000
2571	0.084736
2581	0.084640
2591	0.085040
2601	0.085440
2611	0.085760
2621	0.085824
2631	0.086048
2641	0.086240
2651	0.086768
2661	0.087088
2671	0.087648
2681	0.087728
2691	0.088112
2701	0.088112
2711	0.088832
2721	0.088976
2731	0.089104
2741	0.089504
2751	0.090032
2761	0.090352
2771	0.090576
2781	0.090608
2791	0.091616
2801	0.091360
2811	0.091808
2821	0.092096
2831	0.092544
2841	0.092848
2851	0.092816
2861	0.093328
2871	0.093536
2881	0.093600
2891	0.094400
2901	0.094624
2911	0.094720
2921	0.095056
2931	0.095296
2941	0.096032
2951	0.096064
2961	0.096096
2971	0.096848
2981	0.097376
2991	0.097120
3001	0.097536
3011	0.097504
3021	0.098336
3031	0.098576
3041	0.098816
3051	0.099136
3061	0.099680
3071	0.099632
3081	0.100064
3091	0.100416
3101	0.101200
3111	0.101152
3121	0.101264
3131	0.101760
3141	0.102000
3151	0.102288
3161	0.102416
3171	0.102880
3181	0.103456
3191	0.103680
3201	0.103952
3211	0.104016
3221	0.104336
3231	0.104736
3241	0.104832
3251	0.105328
3261	0.105872
3271	0.106432
3281	0.106272
3291	0.106624
3301	0.106672
3311	0.107184
3321	0.107424
3331	0.107904
3341	0.108368
3351	0.108464
3361	0.108608
3371	0.109152
3381	0.109616
3391	0.109664
3401	0.109968
3411	0.110832
3421	0.110832
3431	0.111360
3441	0.111376
3451	0.111552
3461	0.112000
3471	0.112512
3481	0.112208
3491	0.112512
3501	0.113248
3511	0.113296
3521	0.113744
3531	0.113872
3541	0.114320
3551	0.114880
3561	0.114896
3571	0.115600
3581	0.115600
3591	0.115712
3601	0.115904
3611	0.116320
3621	0.116816
3631	0.117312
3641	0.117440
3651	0.117808
3661	0.118128
3671	0.118048
3681	0.118624
3691	0.118816
3701	0.119440
3711	0.119392
3721	0.120336
3731	0.120096
3741	0.120288
3751	0.120592
3761	0.120992
3771	0.121024
3781	0.121664
3791	0.121920
3801	0.122208
3811	0.122592
3821	0.123168
3831	0.122960
3841	0.123568
3851	0.124032
3861	0.124368
3871	0.124864
3881	0.124560
3891	0.124928
3901	0.125136
3911	0.126016
3921	0.126144
3931	0.126576
3941	0.126800
3951	0.126880
3961	0.127504
3971	0.127520
3981	0.128112
3991	0.128240
4001	0.128368
4011	0.128576
4021	0.128992
4031	0.130032
4041	0.129632
4051	0.129824
4061	0.130368
4071	0.130912
4081	0.130784
4091	0.131104
4101	0.131600
4111	0.131520
4121	0.132096
4131	0.132624
4141	0.133152
4151	0.133328
4161	0.133216
4171	0.133744
4181	0.134128
4191	0.134256
4201	0.134432
4211	0.135216
4221	0.135376
4231	0.135744
4241	0.136016
4251	0.136432
4261	0.136544
4271	0.136704
4281	0.137344
4291	0.137808
4301	0.138032
4311	0.138128
4321	0.138064
4331	0.138496
4341	0.139440
4351	0.139488
4361	0.139792
4371	0.139792
4381	0.140448
4391	0.140832
4401	0.140816
4411	0.141264
4421	0.141808
4431	0.141776
4441	0.142000
4451	0.142368
4461	0.143088
4471	0.143136
4481	0.143536
4491	0.143984
4501	0.143808
4511	0.144432
4521	0.144528
4531	0.144992
4541	0.145360
4551	0.145488
4561	0.145632
4571	0.146096
4581	0.146464
4591	0.146672
4601	0.147040
4611	0.147392
4621	0.148048
4631	0.147712
4641	0.148352
4651	0.148896
4661	0.148960
4671	0.149264
4681	0.149616
4691	0.149552
4701	0.149952
4711	0.150240
4721	0.150784
4731	0.151136
4741	0.151568
4751	0.151840
4761	0.151968
4771	0.152624
4781	0.152608
4791	0.153024
4801	0.153312
4811	0.153552
4821	0.153856
4831	0.153520
4841	0.154560
4851	0.154960
4861	0.154688
4871	0.155296
4881	0.155632
4891	0.155760
4901	0.156416
4911	0.156304
4921	0.156912
4931	0.157456
4941	0.157632
4951	0.157632
4961	0.158720
4971	0.158448
4981	0.158752
4991	0.159104
5001	0.159728
5011	0.159952
5021	0.160048
5031	0.160528
5041	0.160864
5051	0.161168
5061	0.161424
5071	0.161776
5081	0.161712
5091	0.162272
5101	0.165984
5111	0.162736
5121	0.163312
5131	0.163312
5141	0.163792
5151	0.164064
5161	0.164672
5171	0.164672
5181	0.165264
5191	0.165168
5201	0.165456
5211	0.165568
5221	0.166288
5231	0.166432
5241	0.166992
5251	0.167008
5261	0.167568
5271	0.168544
5281	0.168592
5291	0.169216
5301	0.169104
5311	0.169584
5321	0.170128
5331	0.170384
5341	0.170352
5351	0.170704
5361	0.171488
5371	0.171696
5381	0.171728
5391	0.172592
5401	0.172576
5411	0.172880
5421	0.173136
5431	0.173440
5441	0.173488
5451	0.173904
5461	0.174480
5471	0.174864
5481	0.174752
5491	0.175184
5501	0.175376
5511	0.175744
5521	0.175792
5531	0.176160
5541	0.176752
5551	0.177344
5561	0.177312
5571	0.177872
5581	0.178016
5591	0.178272
5601	0.178672
5611	0.178880
5621	0.179056
5631	0.179632
5641	0.179472
5651	0.179984
5661	0.180096
5671	0.180224
5681	0.181056
5691	0.181296
5701	0.181456
5711	0.182240
5721	0.182288
5731	0.182688
5741	0.182848
5751	0.182912
5761	0.183312
5771	0.183616
5781	0.183920
5791	0.184400
5801	0.184752
5811	0.185232
5821	0.185488
5831	0.185712
5841	0.185776
5851	0.186144
5861	0.186672
5871	0.187008
5881	0.187408
5891	0.187168
5901	0.188128
5911	0.188112
5921	0.188336
5931	0.188928
5941	0.189360
5951	0.189712
5961	0.189632
5971	0.189744
5981	0.190240
5991	0.190480
6001	0.191040
6011	0.191264
6021	0.191488
6031	0.191920
6041	0.192096
6051	0.192608
6061	0.192416
6071	0.192848
6081	0.193456
6091	0.193648
6101	0.194288
6111	0.194608
6121	0.194608
6131	0.195056
6141	0.195216
6151	0.195440
6161	0.195488
6171	0.196240
6181	0.196432
6191	0.196752
6201	0.197168
6211	0.197376
6221	0.197600
6231	0.197664
6241	0.198400
6251	0.198528
6261	0.199024
6271	0.199152
6281	0.199248
6291	0.200176
6301	0.200032
6311	0.200256
6321	0.200848
6331	0.201312
6341	0.201616
6351	0.202016
6361	0.202112
6371	0.202240
6381	0.202720
6391	0.203280
6401	0.203648
6411	0.203808
6421	0.203856
6431	0.203904
6441	0.204544
6451	0.204944
6461	0.205120
6471	0.205488
6481	0.205792
6491	0.206256
6501	0.206416
6511	0.206576
6521	0.207152
6531	0.207856
6541	0.207760
6551	0.208096
6561	0.208128
6571	0.208352
6581	0.208720
6591	0.209120
6601	0.209632
6611	0.209872
6621	0.210496
6631	0.210816
6641	0.210704
6651	0.211168
6661	0.211200
6671	0.211856
6681	0.212480
6691	0.212384
6701	0.212416
6711	0.213184
6721	0.213184
6731	0.213552
6741	0.213296
6751	0.213920
6761	0.214608
6771	0.214608
6781	0.215232
6791	0.215392
6801	0.215248
6811	0.216320
6821	0.216016
6831	0.216560
6841	0.216720
6851	0.217056
6861	0.217408
6871	0.217632
6881	0.217936
6891	0.218128
6901	0.218624
6911	0.218944
6921	0.219440
6931	0.219968
6941	0.219776
6951	0.220208
6961	0.220640
6971	0.221232
6981	0.221344
6991	0.221696
7001	0.221808
7011	0.222064
7021	0.222352
7031	0.222752
7041	0.222704
7051	0.223200
7061	0.223696
7071	0.224096
7081	0.224032
7091	0.224576
7101	0.224784
7111	0.224928
7121	0.225664
7131	0.225840
7141	0.225776
7151	0.226464
7161	0.226480
7171	0.227488
7181	0.227424
7191	0.227424
7201	0.228128
7211	0.228528
7221	0.228608
7231	0.229008
7241	0.229136
7251	0.229296
7261	0.230128
7271	0.230368
7281	0.230544
7291	0.230896
7301	0.231520
7311	0.231328
7321	0.231760
7331	0.231840
7341	0.232432
7351	0.232544
7361	0.233184
7371	0.233296
7381	0.233472
7391	0.234208
7401	0.233888
7411	0.234528
7421	0.234688
7431	0.234640
7441	0.235296
7451	0.235360
7461	0.236096
7471	0.236560
7481	0.236736
7491	0.237072
7501	0.237248
7511	0.237536
7521	0.237712
7531	0.238288
7541	0.238880
7551	0.239008
7561	0.239040
7571	0.239392
7581	0.239792
7591	0.240224
7601	0.239952
7611	0.240640
7621	0.240720
7631	0.241696
7641	0.241552
7651	0.242144
7661	0.241968
