Num_Matrices	Median_Transfer_Time_ms
1	0.006704
11	0.005408
21	0.005520
31	0.005776
41	0.005936
51	0.006192
61	0.006160
71	0.006464
81	0.006624
91	0.006864
101	0.006992
111	0.007296
121	0.007520
131	0.007632
141	0.007840
151	0.008176
161	0.008256
171	0.008272
181	0.008368
191	0.008640
201	0.008656
211	0.008832
221	0.008928
231	0.009104
241	0.009200
251	0.009664
261	0.009472
271	0.009904
281	0.009920
291	0.010128
301	0.010464
311	0.010640
321	0.010864
331	0.010896
341	0.011040
351	0.011344
361	0.011280
371	0.011376
381	0.011520
391	0.011824
401	0.011920
411	0.012000
421	0.012160
431	0.012368
441	0.012464
451	0.012464
461	0.012752
471	0.012912
481	0.013200
491	0.013504
501	0.013520
511	0.013792
521	0.013840
531	0.013984
541	0.014032
551	0.014384
561	0.014544
571	0.014720
581	0.014608
591	0.015168
601	0.014976
611	0.015136
621	0.015328
631	0.015696
641	0.015920
651	0.015968
661	0.016048
671	0.016256
681	0.016384
691	0.016624
701	0.016592
711	0.017008
721	0.016912
731	0.017168
741	0.017216
751	0.017456
761	0.017536
771	0.017712
781	0.017872
791	0.018096
801	0.018336
811	0.018416
821	0.018432
831	0.018928
841	0.018976
851	0.019088
861	0.019120
871	0.019392
881	0.019488
891	0.019712
901	0.019872
911	0.020192
921	0.020208
931	0.020432
941	0.020480
951	0.021008
961	0.021040
971	0.020976
981	0.021152
991	0.021568
1001	0.021712
1011	0.021616
1021	0.022000
1031	0.022000
1041	0.022528
1051	0.022368
1061	0.022432
1071	0.022736
1081	0.022864
1091	0.023040
1101	0.023136
1111	0.023584
1121	0.023408
1131	0.023312
1141	0.023856
1151	0.023984
1161	0.024240
1171	0.024400
1181	0.024592
1191	0.024912
1201	0.024944
1211	0.025072
1221	0.025216
1231	0.025216
1241	0.025344
1251	0.025616
1261	0.025504
1271	0.026048
1281	0.026112
1291	0.026096
1301	0.026864
1311	0.026752
1321	0.026992
1331	0.027456
1341	0.027104
1351	0.027344
1361	0.027280
1371	0.028096
1381	0.028192
1391	0.027888
1401	0.028096
1411	0.028528
1421	0.028752
1431	0.028976
1441	0.028896
1451	0.028864
1461	0.028976
1471	0.029152
1481	0.029648
1491	0.029712
1501	0.029728
1511	0.030112
1521	0.030928
1531	0.030736
1541	0.030880
1551	0.030960
1561	0.031232
1571	0.031728
1581	0.031488
1591	0.032544
1601	0.032256
1611	0.032112
1621	0.032240
1631	0.033216
1641	0.033008
1651	0.033152
1661	0.033536
1671	0.033376
1681	0.033936
1691	0.033712
1701	0.034128
1711	0.033920
1721	0.033520
1731	0.033552
1741	0.033616
1751	0.034560
1761	0.034448
1771	0.034816
1781	0.034304
1791	0.035264
1801	0.035456
1811	0.035376
1821	0.035520
1831	0.035648
1841	0.035504
1851	0.035984
1861	0.036656
1871	0.036560
1881	0.036800
1891	0.037136
1901	0.037664
1911	0.038752
1921	0.037440
1931	0.038336
1941	0.038000
1951	0.037824
1961	0.039536
1971	0.038208
1981	0.039776
1991	0.039088
2001	0.039536
2011	0.040160
2021	0.039632
2031	0.040304
2041	0.040480
2051	0.040096
2061	0.041952
2071	0.040480
2081	0.041392
2091	0.041440
2101	0.041568
2111	0.040304
2121	0.041056
2131	0.041504
2141	0.040688
2151	0.043216
2161	0.046640
2171	0.043936
2181	0.042640
2191	0.042688
2201	0.046416
2211	0.042640
2221	0.043024
2231	0.042688
2241	0.043280
2251	0.043280
2261	0.042624
2271	0.043104
2281	0.042976
2291	0.044336
2301	0.042896
2311	0.043632
2321	0.043616
2331	0.044336
2341	0.043664
2351	0.043824
2361	0.043872
2371	0.043840
2381	0.043904
2391	0.044144
2401	0.044096
2411	0.044448
2421	0.044144
2431	0.045088
2441	0.044368
2451	0.045376
2461	0.044704
2471	0.044880
2481	0.044864
2491	0.044800
2501	0.044848
2511	0.045248
2521	0.045296
2531	0.045168
2541	0.045504
2551	0.045440
2561	0.045856
2571	0.045712
2581	0.045936
2591	0.046016
2601	0.045952
2611	0.046400
2621	0.045936
2631	0.045840
2641	0.046448
2651	0.046944
2661	0.046496
2671	0.046656
2681	0.046768
2691	0.047296
2701	0.046688
2711	0.048272
2721	0.047888
2731	0.047952
2741	0.047840
2751	0.048400
2761	0.048224
2771	0.048384
2781	0.047712
2791	0.048528
2801	0.048688
2811	0.048704
2821	0.049488
2831	0.049648
2841	0.049088
2851	0.049664
2861	0.049664
2871	0.050304
2881	0.050064
