Num_Matrices	Median_Transfer_Time_ms
1	0.008608
11	0.006944
21	0.007136
31	0.007328
41	0.007904
51	0.008160
61	0.008464
71	0.008816
81	0.009168
91	0.009344
101	0.009888
111	0.010000
121	0.010496
131	0.010752
141	0.010992
151	0.011392
161	0.011712
171	0.012032
181	0.012176
191	0.012416
201	0.013072
211	0.013312
221	0.013552
231	0.013728
241	0.014272
251	0.014432
261	0.014928
271	0.015104
281	0.015568
291	0.015840
301	0.016144
311	0.016240
321	0.016800
331	0.017200
341	0.017328
351	0.017792
361	0.018064
371	0.018368
381	0.018784
391	0.019216
401	0.019632
411	0.019728
421	0.020000
431	0.020208
441	0.020624
451	0.020976
461	0.021200
471	0.021616
481	0.021984
491	0.022336
501	0.022432
511	0.023216
521	0.023328
531	0.023888
541	0.024224
551	0.024128
561	0.024704
571	0.024816
581	0.025168
591	0.025456
601	0.025728
611	0.025936
621	0.026496
631	0.027232
641	0.027248
651	0.027648
661	0.027904
671	0.028128
681	0.028448
691	0.028656
701	0.028864
711	0.029344
721	0.029664
731	0.030000
741	0.030432
751	0.030944
761	0.031232
771	0.031248
781	0.031536
791	0.031728
801	0.032272
811	0.032576
821	0.032768
831	0.032992
841	0.033520
851	0.033744
861	0.034128
871	0.034416
881	0.034880
891	0.035088
901	0.035520
911	0.035664
921	0.036128
931	0.036416
941	0.036672
951	0.036816
961	0.037312
971	0.037680
981	0.037920
991	0.038192
1001	0.038640
1011	0.038848
1021	0.039296
1031	0.039552
1041	0.039920
1051	0.040096
1061	0.040400
1071	0.040800
1081	0.041328
1091	0.041472
1101	0.041680
1111	0.041936
1121	0.042432
1131	0.042768
1141	0.043136
1151	0.043328
1161	0.043728
1171	0.043984
1181	0.044448
1191	0.044576
1201	0.044992
1211	0.045168
1221	0.045680
1231	0.045968
1241	0.046192
1251	0.046624
1261	0.047008
1271	0.047120
1281	0.047584
1291	0.047824
1301	0.048336
1311	0.048592
1321	0.048832
1331	0.049232
1341	0.049488
1351	0.049840
1361	0.050096
1371	0.050528
1381	0.050880
1391	0.051152
1401	0.051568
1411	0.051808
1421	0.052080
1431	0.052192
1441	0.052768
1451	0.053184
1461	0.053360
1471	0.053616
1481	0.054144
1491	0.054352
1501	0.054752
1511	0.054800
1521	0.055344
1531	0.055680
1541	0.056112
1551	0.056176
1561	0.056752
1571	0.056960
1581	0.057184
1591	0.057536
1601	0.057840
1611	0.058320
1621	0.058368
1631	0.058960
1641	0.059184
1651	0.059504
1661	0.059872
1671	0.060208
1681	0.060624
1691	0.060704
1701	0.061088
1711	0.061424
1721	0.061824
1731	0.061952
1741	0.062512
1751	0.062592
1761	0.063168
1771	0.063344
1781	0.063792
1791	0.063936
1801	0.064272
1811	0.064704
1821	0.064992
1831	0.065216
1841	0.065744
1851	0.065904
1861	0.066288
1871	0.066528
1881	0.066784
1891	0.067120
1901	0.067648
1911	0.067824
1921	0.068128
1931	0.068560
1941	0.068736
1951	0.069232
1961	0.069472
1971	0.069760
1981	0.070144
1991	0.070432
2001	0.070816
2011	0.070944
2021	0.071360
2031	0.071696
2041	0.072080
2051	0.072368
2061	0.073168
2071	0.073312
2081	0.073680
2091	0.074112
2101	0.074224
2111	0.074496
2121	0.074896
2131	0.075280
2141	0.075584
2151	0.075872
2161	0.076368
2171	0.076368
2181	0.076928
2191	0.077296
2201	0.077552
2211	0.077856
2221	0.078096
2231	0.078544
2241	0.078768
2251	0.079072
2261	0.079392
2271	0.079856
2281	0.080112
2291	0.080368
2301	0.081184
2311	0.081248
2321	0.081680
2331	0.081920
2341	0.082272
2351	0.082976
2361	0.082912
2371	0.083264
2381	0.083568
2391	0.083872
2401	0.084224
2411	0.084560
2421	0.084864
2431	0.085168
2441	0.085504
2451	0.085952
2461	0.086112
2471	0.086352
2481	0.086896
2491	0.086992
2501	0.087488
2511	0.087744
2521	0.088032
2531	0.088448
2541	0.088528
2551	0.089120
2561	0.089296
2571	0.089552
2581	0.089952
2591	0.090272
2601	0.090560
2611	0.091152
2621	0.091216
2631	0.093584
2641	0.093824
2651	0.094016
2661	0.094384
2671	0.094704
2681	0.095120
2691	0.095280
2701	0.095696
2711	0.095952
2721	0.096304
2731	0.096576
2741	0.096832
2751	0.097152
2761	0.097552
2771	0.097936
2781	0.098272
2791	0.098544
2801	0.098848
2811	0.099104
2821	0.099488
2831	0.099904
2841	0.100112
2851	0.100544
2861	0.100736
2871	0.101024
2881	0.101440
2891	0.101760
2901	0.101936
2911	0.102336
2921	0.102656
2931	0.103040
2941	0.103488
2951	0.103824
2961	0.104000
2971	0.104272
2981	0.104592
2991	0.104736
3001	0.105184
3011	0.105600
3021	0.105936
3031	0.106080
3041	0.106576
3051	0.106912
3061	0.107216
3071	0.107264
3081	0.107872
3091	0.108304
3101	0.108448
3111	0.108800
3121	0.109008
3131	0.109392
3141	0.109664
3151	0.110048
