Num_Matrices	Median_Transfer_Time_ms
1	0.022144
11	0.010160
21	0.010608
31	0.011632
41	0.012752
51	0.013984
61	0.015136
71	0.016592
81	0.017776
91	0.018032
101	0.019328
111	0.020848
121	0.022080
131	0.023648
141	0.025440
151	0.025424
161	0.026656
171	0.024064
181	0.021264
191	0.021808
201	0.022288
211	0.022976
221	0.024112
231	0.024128
241	0.024656
251	0.025184
261	0.026144
271	0.026912
281	0.027424
291	0.028896
301	0.028576
311	0.030128
321	0.030096
331	0.031520
341	0.031152
351	0.032512
361	0.032416
371	0.033808
381	0.033728
391	0.035200
401	0.034800
411	0.036320
421	0.036480
431	0.038080
441	0.037504
451	0.039264
461	0.038896
471	0.039696
481	0.040416
491	0.041552
501	0.041200
511	0.042608
521	0.042944
531	0.044560
541	0.044400
551	0.045632
561	0.044976
571	0.047184
581	0.046864
591	0.048320
601	0.047568
611	0.049312
621	0.048992
631	0.050448
641	0.050288
651	0.052160
661	0.051424
671	0.052880
681	0.052752
691	0.054208
701	0.053872
711	0.055424
721	0.055120
731	0.056320
741	0.056144
751	0.058704
761	0.057440
771	0.058944
781	0.058912
791	0.059936
801	0.059872
811	0.061392
821	0.061280
831	0.062496
841	0.062976
851	0.063824
861	0.063872
871	0.064944
881	0.064752
891	0.066160
901	0.066160
911	0.067184
921	0.067344
931	0.068800
941	0.068416
951	0.069968
961	0.069760
971	0.071344
981	0.070832
991	0.072208
1001	0.072272
1011	0.073472
1021	0.073296
1031	0.075280
1041	0.074480
1051	0.075952
1061	0.075696
1071	0.077312
1081	0.077120
1091	0.078848
1101	0.078464
1111	0.080048
1121	0.079824
1131	0.081232
1141	0.080960
1151	0.082480
1161	0.081920
1171	0.083360
1181	0.083472
1191	0.084640
1201	0.084512
1211	0.086320
1221	0.085728
1231	0.087072
1241	0.087024
1251	0.089184
1261	0.088432
1271	0.089872
1281	0.089584
1291	0.090928
1301	0.091056
1311	0.092256
1321	0.092112
1331	0.092832
1341	0.093296
1351	0.094640
1361	0.094880
1371	0.095968
1381	0.095888
1391	0.097008
1401	0.096896
1411	0.098528
1421	0.098144
1431	0.099664
1441	0.099232
1451	0.101008
1461	0.100608
1471	0.101712
1481	0.102080
1491	0.103424
1501	0.103072
1511	0.104256
1521	0.104720
1531	0.105536
1541	0.105680
1551	0.107136
1561	0.106640
1571	0.108544
1581	0.107872
1591	0.108896
1601	0.108944
1611	0.110864
1621	0.110512
1631	0.111584
1641	0.111520
1651	0.112880
1661	0.113344
1671	0.114528
1681	0.114496
1691	0.115632
1701	0.115648
1711	0.116336
1721	0.117168
1731	0.118000
1741	0.118320
1751	0.118992
1761	0.118976
1771	0.120336
1781	0.121696
1791	0.122160
1801	0.122272
1811	0.122768
1821	0.123536
1831	0.124000
1841	0.125008
1851	0.125888
1861	0.126208
1871	0.126704
1881	0.127008
1891	0.128064
1901	0.128416
1911	0.129216
1921	0.129616
1931	0.130240
1941	0.130816
1951	0.131808
1961	0.132000
1971	0.132800
1981	0.133744
1991	0.133808
2001	0.134336
2011	0.134784
2021	0.135552
2031	0.136176
2041	0.136864
2051	0.137712
2061	0.138368
2071	0.138736
2081	0.139184
2091	0.140016
2101	0.141056
2111	0.141024
2121	0.141920
2131	0.142320
2141	0.142704
2151	0.143808
2161	0.144640
2171	0.144608
2181	0.144896
2191	0.145888
2201	0.146704
2211	0.147472
2221	0.147472
2231	0.148400
2241	0.149488
2251	0.150000
2261	0.151168
2271	0.151136
2281	0.151568
2291	0.152000
2301	0.152880
2311	0.153168
2321	0.153936
2331	0.155520
2341	0.155520
2351	0.155952
2361	0.156848
2371	0.157168
2381	0.158096
2391	0.158592
2401	0.159152
2411	0.159856
2421	0.160240
2431	0.160704
2441	0.161472
2451	0.161872
2461	0.162656
2471	0.162976
2481	0.164176
2491	0.164688
2501	0.165328
2511	0.165632
2521	0.166448
2531	0.167168
2541	0.167072
2551	0.168016
2561	0.169088
2571	0.169232
2581	0.170096
2591	0.170416
2601	0.171168
2611	0.172272
2621	0.172608
2631	0.173664
2641	0.173680
2651	0.174032
2661	0.174432
2671	0.174448
2681	0.174528
2691	0.175424
2701	0.175520
2711	0.175520
2721	0.176624
2731	0.176368
2741	0.176400
2751	0.176832
2761	0.176720
2771	0.177680
2781	0.177472
2791	0.178256
2801	0.178544
2811	0.179264
2821	0.179200
2831	0.180000
2841	0.179952
2851	0.180256
2861	0.180416
2871	0.180608
2881	0.181360
2891	0.181440
2901	0.181840
2911	0.182192
2921	0.182336
2931	0.182480
2941	0.183216
2951	0.183696
2961	0.183728
2971	0.184384
2981	0.183968
2991	0.184768
3001	0.185936
3011	0.184944
3021	0.186928
3031	0.186848
3041	0.185968
3051	0.186608
3061	0.186800
3071	0.187520
3081	0.187424
3091	0.187712
3101	0.187632
3111	0.190880
3121	0.188896
3131	0.188992
3141	0.189312
3151	0.189840
3161	0.190000
3171	0.190080
3181	0.190624
3191	0.190784
3201	0.191136
3211	0.191312
3221	0.191920
3231	0.192352
3241	0.192576
3251	0.192800
3261	0.193552
3271	0.193824
3281	0.193648
3291	0.193760
3301	0.194512
3311	0.194976
3321	0.194864
3331	0.195536
3341	0.195600
3351	0.196208
3361	0.196768
3371	0.196528
3381	0.196896
3391	0.197168
3401	0.197440
3411	0.197728
3421	0.198224
3431	0.198816
3441	0.198864
3451	0.199424
3461	0.199728
3471	0.200208
3481	0.200352
3491	0.200272
3501	0.200832
3511	0.201104
3521	0.202224
3531	0.201760
3541	0.202000
3551	0.202560
3561	0.202880
3571	0.203264
3581	0.203504
3591	0.203728
3601	0.204112
3611	0.204384
3621	0.204592
3631	0.204864
3641	0.205472
3651	0.205952
3661	0.205872
3671	0.206352
3681	0.206704
3691	0.207072
3701	0.207312
3711	0.207584
3721	0.207648
3731	0.207984
3741	0.208384
3751	0.209072
3761	0.209072
3771	0.209232
3781	0.209968
3791	0.210032
3801	0.210416
3811	0.210976
3821	0.211264
3831	0.211792
3841	0.211312
3851	0.212464
3861	0.212592
3871	0.212528
3881	0.213024
3891	0.213360
3901	0.214032
3911	0.214096
3921	0.214336
3931	0.214496
3941	0.214864
3951	0.215232
3961	0.215856
3971	0.215968
3981	0.216672
3991	0.216704
4001	0.217072
4011	0.217696
4021	0.217472
4031	0.218176
4041	0.218512
4051	0.218384
4061	0.219504
4071	0.219200
4081	0.219488
4091	0.219936
4101	0.220304
4111	0.220304
4121	0.220896
4131	0.220976
4141	0.221200
4151	0.221824
4161	0.221776
4171	0.222608
4181	0.222720
4191	0.222736
4201	0.223328
4211	0.223776
4221	0.224160
4231	0.224224
4241	0.224640
4251	0.224944
4261	0.225376
4271	0.225552
4281	0.225968
4291	0.226224
4301	0.226496
4311	0.227952
4321	0.227216
4331	0.227600
4341	0.227744
4351	0.228128
4361	0.228688
4371	0.228704
4381	0.229120
4391	0.229296
4401	0.229600
4411	0.230192
4421	0.230640
4431	0.230688
4441	0.231200
4451	0.232896
4461	0.232384
4471	0.232384
4481	0.232320
4491	0.233200
4501	0.232864
4511	0.232816
4521	0.234608
4531	0.233952
4541	0.234624
4551	0.234272
4561	0.234672
4571	0.235104
4581	0.235552
4591	0.235936
4601	0.236448
4611	0.236496
4621	0.237280
4631	0.237216
4641	0.237648
4651	0.238464
4661	0.237808
4671	0.238768
4681	0.239104
4691	0.238928
4701	0.239072
4711	0.239776
4721	0.240192
4731	0.240592
4741	0.240672
4751	0.241456
4761	0.241776
4771	0.241968
4781	0.245680
4791	0.242576
4801	0.242720
4811	0.243360
4821	0.243248
4831	0.244080
4841	0.243584
4851	0.245440
4861	0.244528
4871	0.244704
4881	0.245344
4891	0.245296
4901	0.246096
4911	0.246096
4921	0.246672
4931	0.246944
4941	0.247040
4951	0.247632
4961	0.248672
4971	0.248016
4981	0.248688
4991	0.248624
5001	0.249872
5011	0.249312
5021	0.250480
5031	0.250800
5041	0.250272
5051	0.250880
5061	0.251056
5071	0.251520
5081	0.251616
5091	0.252352
5101	0.252608
5111	0.252592
5121	0.253232
5131	0.253936
5141	0.254288
5151	0.253904
5161	0.254224
5171	0.254688
5181	0.254944
5191	0.255680
5201	0.255984
5211	0.256464
5221	0.256864
5231	0.256736
5241	0.256976
5251	0.259440
5261	0.260128
5271	0.260656
5281	0.261184
5291	0.260592
5301	0.261408
5311	0.261504
5321	0.262688
5331	0.261696
5341	0.263200
5351	0.262432
5361	0.263280
5371	0.263072
5381	0.264528
5391	0.263600
5401	0.264128
5411	0.264160
5421	0.266032
5431	0.264976
5441	0.266080
5451	0.265904
5461	0.266672
5471	0.267360
5481	0.266784
5491	0.267216
5501	0.269264
5511	0.267744
5521	0.268320
5531	0.268096
5541	0.269088
5551	0.268752
5561	0.269808
5571	0.269424
5581	0.273760
5591	0.269984
5601	0.271104
5611	0.270352
5621	0.272352
5631	0.271920
5641	0.272352
5651	0.272832
5661	0.273344
5671	0.272912
5681	0.275584
5691	0.274288
5701	0.276864
5711	0.274224
5721	0.274960
5731	0.274896
5741	0.275744
5751	0.275376
5761	0.280736
