Num_Matrices	Median_Transfer_Time_ms
1	0.023056
11	0.009232
21	0.009216
31	0.011248
41	0.012800
51	0.014352
61	0.016416
71	0.019456
81	0.021472
91	0.022032
101	0.023552
111	0.025600
121	0.027152
131	0.030704
141	0.032768
151	0.032768
161	0.034816
171	0.034208
181	0.030896
191	0.031744
201	0.032224
211	0.033760
221	0.034208
231	0.035040
241	0.036400
251	0.037232
261	0.039280
271	0.039568
281	0.041264
291	0.042288
301	0.043360
311	0.044752
321	0.046048
331	0.050448
341	0.056176
351	0.054464
361	0.054640
371	0.059728
381	0.060480
391	0.059488
401	0.060352
411	0.060848
421	0.064064
431	0.066368
441	0.067248
451	0.064016
461	0.064816
471	0.068000
481	0.068192
491	0.069248
501	0.073424
511	0.072288
521	0.073536
531	0.075040
541	0.073760
551	0.074752
561	0.075984
571	0.079136
581	0.078192
591	0.079632
601	0.089760
611	0.080896
621	0.081920
631	0.083152
641	0.083920
651	0.085488
661	0.087008
671	0.086736
681	0.087808
691	0.092400
701	0.090992
711	0.091248
721	0.093056
731	0.093184
741	0.096704
751	0.095600
761	0.099328
771	0.098688
781	0.101616
791	0.104416
801	0.102464
811	0.102800
821	0.104944
831	0.104944
841	0.107664
851	0.108288
861	0.110048
871	0.110336
881	0.113296
891	0.112096
901	0.113968
911	0.114592
921	0.117792
931	0.117904
941	0.122352
951	0.119536
961	0.124224
971	0.122352
981	0.124816
991	0.125328
1001	0.127328
1011	0.129344
1021	0.129088
1031	0.129536
1041	0.132848
1051	0.131696
1061	0.133136
1071	0.134528
1081	0.136656
1091	0.136352
1101	0.138864
1111	0.139456
1121	0.140816
1131	0.141616
1141	0.143232
1151	0.143376
1161	0.145776
1171	0.145744
1181	0.147936
1191	0.147520
1201	0.149968
1211	0.150896
1221	0.152496
1231	0.152784
1241	0.155728
1251	0.155552
1261	0.157824
1271	0.160032
1281	0.165760
1291	0.159712
1301	0.162752
1311	0.162496
1321	0.165120
1331	0.164032
1341	0.166672
1351	0.167328
1361	0.169344
1371	0.168848
1381	0.171872
1391	0.172752
1401	0.174512
1411	0.174400
1421	0.177584
1431	0.177024
1441	0.178880
1451	0.179472
1461	0.181456
1471	0.181760
1481	0.184192
1491	0.183344
1501	0.185440
1511	0.186496
1521	0.188784
1531	0.187888
1541	0.189712
1551	0.191008
1561	0.192912
1571	0.192464
1581	0.194640
1591	0.195648
1601	0.197088
1611	0.197568
1621	0.200288
1631	0.200480
1641	0.201744
1651	0.202784
1661	0.204736
1671	0.204816
1681	0.206896
1691	0.207200
1701	0.208960
1711	0.209696
1721	0.212208
1731	0.211712
1741	0.214448
1751	0.215008
1761	0.216192
1771	0.217872
1781	0.219232
1791	0.219408
1801	0.221856
1811	0.222272
1821	0.224080
