Num_Matrices	Median_Transfer_Time_ms
1	0.008608
11	0.006032
21	0.005552
31	0.006416
41	0.006736
51	0.007168
61	0.007440
71	0.008016
81	0.008080
91	0.008416
101	0.008736
111	0.008864
121	0.009424
131	0.009424
141	0.010144
151	0.010464
161	0.010528
171	0.010896
181	0.011184
191	0.011696
201	0.011984
211	0.012176
221	0.012624
231	0.013200
241	0.013344
251	0.014256
261	0.013824
271	0.014176
281	0.014672
291	0.015232
301	0.015344
311	0.015904
321	0.016032
331	0.016464
341	0.016512
351	0.016928
361	0.017904
371	0.017952
381	0.018048
391	0.018432
401	0.018656
411	0.019184
421	0.019280
431	0.020048
441	0.020080
451	0.020528
461	0.020880
471	0.021216
481	0.021296
491	0.021872
501	0.021904
511	0.022352
521	0.022976
531	0.023200
541	0.023648
551	0.024256
561	0.024368
571	0.024528
581	0.024784
591	0.025392
601	0.025696
611	0.026512
621	0.026288
631	0.026784
641	0.027168
651	0.027280
661	0.027344
671	0.027840
681	0.028272
691	0.028448
701	0.028960
711	0.029056
721	0.029424
731	0.030112
741	0.029952
751	0.030496
761	0.030736
771	0.031152
781	0.031920
791	0.032064
801	0.032160
811	0.032656
821	0.032608
831	0.033312
841	0.033664
851	0.034432
861	0.034384
871	0.035008
881	0.034944
891	0.035600
901	0.035488
911	0.035920
921	0.036224
931	0.036528
941	0.036848
951	0.037424
961	0.037552
971	0.037840
981	0.037920
991	0.038528
1001	0.038832
1011	0.039040
1021	0.039568
1031	0.039984
1041	0.041008
1051	0.040416
1061	0.040592
1071	0.041312
1081	0.041408
1091	0.042064
1101	0.042512
1111	0.043216
1121	0.042944
1131	0.043296
1141	0.043376
1151	0.044160
1161	0.044304
1171	0.044720
1181	0.045168
1191	0.045584
1201	0.045760
1211	0.046032
1221	0.046288
1231	0.046704
1241	0.047040
1251	0.047360
1261	0.047712
1271	0.048192
1281	0.048384
1291	0.048688
1301	0.048816
1311	0.049504
1321	0.049632
1331	0.049888
1341	0.051056
1351	0.051232
1361	0.050944
1371	0.051216
1381	0.051504
1391	0.051872
1401	0.052288
1411	0.052592
1421	0.052960
1431	0.053536
1441	0.053344
1451	0.054000
1461	0.053984
1471	0.054672
1481	0.054704
1491	0.055232
1501	0.055520
1511	0.056048
1521	0.056464
1531	0.056304
1541	0.056768
1551	0.057424
1561	0.057952
1571	0.057744
1581	0.059056
1591	0.058880
1601	0.059472
1611	0.058880
1621	0.059584
1631	0.059520
1641	0.060304
1651	0.060448
1661	0.060848
1671	0.061168
1681	0.061424
1691	0.061680
1701	0.061952
1711	0.062448
1721	0.062720
1731	0.062976
1741	0.063456
1751	0.063728
1761	0.063984
1771	0.064336
1781	0.064400
1791	0.064912
1801	0.065472
1811	0.065760
1821	0.065936
1831	0.066992
1841	0.067472
1851	0.066960
1861	0.067600
1871	0.067568
1881	0.068192
1891	0.068576
1901	0.068800
1911	0.069648
1921	0.069904
1931	0.069840
1941	0.069872
1951	0.070656
1961	0.071024
1971	0.072032
1981	0.071904
1991	0.072448
2001	0.072720
2011	0.072960
2021	0.072416
2031	0.073248
2041	0.073808
2051	0.074400
2061	0.074768
2071	0.075200
2081	0.075568
2091	0.076656
2101	0.075520
2111	0.076064
2121	0.076208
2131	0.076144
2141	0.077632
2151	0.077904
2161	0.078096
2171	0.078176
2181	0.078368
2191	0.079216
2201	0.079520
2211	0.079552
2221	0.079696
2231	0.080320
2241	0.080544
2251	0.080880
2261	0.080672
2271	0.081296
2281	0.081680
2291	0.082448
2301	0.082624
2311	0.083152
2321	0.083600
2331	0.085888
2341	0.083888
2351	0.084528
2361	0.084336
2371	0.084752
2381	0.085664
2391	0.085904
2401	0.085888
2411	0.086000
2421	0.086528
2431	0.086832
2441	0.087056
2451	0.087696
2461	0.087648
2471	0.088256
2481	0.088944
2491	0.088480
2501	0.088672
2511	0.089904
