Num_Matrices	Median_Transfer_Time_ms
1	0.024608
11	0.011296
21	0.012272
31	0.013328
41	0.015376
51	0.017424
61	0.019456
71	0.021520
81	0.023568
91	0.024064
101	0.025600
111	0.028672
121	0.029728
131	0.032768
141	0.034832
151	0.035328
161	0.037376
171	0.034256
181	0.032944
191	0.034032
201	0.035216
211	0.035776
221	0.036464
231	0.038688
241	0.039392
251	0.040544
261	0.041552
271	0.042752
281	0.043856
291	0.045296
301	0.046272
311	0.047008
321	0.048736
331	0.050128
341	0.050384
351	0.052128
361	0.053072
371	0.054480
381	0.055680
391	0.056384
401	0.057984
411	0.058672
421	0.061712
431	0.061040
441	0.062848
451	0.063456
461	0.064704
471	0.066032
481	0.069536
491	0.068208
501	0.069648
511	0.073104
521	0.075936
531	0.073952
541	0.074768
551	0.074880
561	0.077472
571	0.077632
581	0.079200
591	0.079904
601	0.082016
611	0.082384
621	0.083168
631	0.084432
641	0.085840
651	0.086864
661	0.087808
671	0.088912
681	0.090368
691	0.092096
701	0.093040
711	0.093216
721	0.095840
731	0.096048
741	0.098528
751	0.099232
761	0.101296
771	0.101152
781	0.102256
791	0.102784
801	0.104864
811	0.105648
821	0.106832
831	0.108048
841	0.109648
851	0.109696
861	0.112320
871	0.112416
881	0.114368
891	0.113760
901	0.116096
911	0.116128
921	0.118400
931	0.119424
941	0.121424
951	0.121296
961	0.123232
971	0.123872
981	0.126080
991	0.125680
1001	0.128128
1011	0.128528
1021	0.130736
1031	0.130576
1041	0.132928
1051	0.133472
1061	0.134784
1071	0.134880
1081	0.137856
1091	0.138160
1101	0.139584
1111	0.140416
1121	0.142032
1131	0.142208
1141	0.144624
1151	0.144128
1161	0.147168
1171	0.147696
1181	0.149424
1191	0.149904
1201	0.151504
1211	0.152240
1221	0.154080
1231	0.153840
1241	0.156224
1251	0.156768
1261	0.158976
1271	0.159376
1281	0.161648
1291	0.161632
1301	0.163232
1311	0.163280
1321	0.165616
1331	0.166464
1341	0.168304
1351	0.168496
1361	0.169872
1371	0.169712
1381	0.172448
1391	0.173040
1401	0.174784
1411	0.175456
1421	0.178000
1431	0.178944
1441	0.180016
1451	0.180704
1461	0.182464
1471	0.184144
1481	0.184832
1491	0.185808
1501	0.188256
1511	0.188000
1521	0.189856
1531	0.190336
1541	0.192544
1551	0.192672
1561	0.193616
1571	0.195200
1581	0.196976
1591	0.197296
1601	0.199280
1611	0.198560
1621	0.201040
1631	0.201344
1641	0.204096
1651	0.204048
1661	0.206176
1671	0.207008
1681	0.208448
1691	0.208320
1701	0.209952
1711	0.211024
1721	0.214528
1731	0.213360
1741	0.214624
1751	0.214528
1761	0.217056
1771	0.217200
1781	0.220016
1791	0.219456
1801	0.222896
1811	0.223344
1821	0.224640
1831	0.224544
