Num_Matrices	Median_Transfer_Time_ms
1	0.031232
11	0.017936
21	0.023536
31	0.020496
41	0.022528
51	0.024064
61	0.025632
71	0.020992
81	0.018416
91	0.017424
101	0.018432
111	0.018448
121	0.018432
131	0.018960
141	0.019456
151	0.019472
161	0.019984
171	0.021504
181	0.026096
191	0.022032
201	0.023024
211	0.023024
221	0.026128
231	0.023568
241	0.023056
251	0.024080
261	0.023552
271	0.024048
281	0.024560
291	0.028176
301	0.025616
311	0.025584
321	0.027136
331	0.026656
341	0.027136
351	0.027664
361	0.027136
371	0.027664
381	0.027680
391	0.028176
401	0.036320
411	0.029680
421	0.030704
431	0.029712
441	0.030736
451	0.030224
461	0.030736
471	0.030736
481	0.031232
491	0.031248
501	0.032256
511	0.033296
521	0.032784
531	0.032768
541	0.033264
551	0.033824
561	0.033760
571	0.034784
581	0.034816
591	0.035840
601	0.034832
611	0.035312
621	0.034816
631	0.035840
641	0.036368
651	0.036864
661	0.036864
671	0.038400
681	0.037904
691	0.037888
701	0.037888
711	0.038896
721	0.038912
731	0.039424
741	0.039952
751	0.039936
761	0.039952
771	0.039968
781	0.040960
791	0.040928
801	0.041456
811	0.041472
821	0.042000
831	0.043008
841	0.041984
851	0.043040
861	0.043008
871	0.043536
881	0.044544
891	0.044560
901	0.044544
911	0.046048
921	0.045056
931	0.045072
941	0.046080
951	0.049136
961	0.046608
971	0.047072
981	0.047120
991	0.048128
1001	0.047104
1011	0.048128
1021	0.049136
1031	0.048640
1041	0.049152
1051	0.049152
1061	0.050176
1071	0.050704
1081	0.050688
1091	0.051200
1101	0.052224
1111	0.052240
1121	0.052768
1131	0.052752
1141	0.053248
1151	0.053248
1161	0.054800
1171	0.054272
1181	0.054272
1191	0.054304
1201	0.054304
1211	0.055280
1221	0.055328
1231	0.056832
1241	0.057344
1251	0.056832
1261	0.058384
1271	0.057856
1281	0.057872
1291	0.058368
1301	0.059888
1311	0.058912
1321	0.058384
1331	0.058896
1341	0.059888
1351	0.059888
1361	0.060416
1371	0.059904
1381	0.061424
1391	0.061456
1401	0.061440
1411	0.061456
1421	0.062448
1431	0.062480
1441	0.062480
1451	0.062496
1461	0.062992
1471	0.065024
1481	0.064016
1491	0.063504
1501	0.065024
1511	0.065056
1521	0.065536
1531	0.066560
1541	0.066560
1551	0.066560
1561	0.066560
1571	0.067072
1581	0.069616
1591	0.069616
1601	0.068592
1611	0.068112
1621	0.068608
1631	0.070128
1641	0.070160
1651	0.069632
1661	0.079360
1671	0.071184
1681	0.070656
1691	0.070656
1701	0.071680
1711	0.072192
1721	0.071680
1731	0.072208
1741	0.074224
1751	0.073232
1761	0.072720
1771	0.073760
1781	0.073744
1791	0.074736
1801	0.074768
1811	0.075744
1821	0.076304
1831	0.077296
1841	0.077824
1851	0.077312
1861	0.078848
1871	0.082416
1881	0.077824
1891	0.077856
1901	0.077856
1911	0.078816
1921	0.079344
1931	0.079376
1941	0.086016
1951	0.080864
1961	0.080896
1971	0.080352
1981	0.080880
1991	0.080912
2001	0.081904
2011	0.081408
2021	0.081920
2031	0.086016
2041	0.082416
2051	0.082944
2061	0.082944
2071	0.083472
2081	0.083968
2091	0.083968
2101	0.084512
2111	0.086512
2121	0.084976
2131	0.086032
2141	0.086000
2151	0.087536
2161	0.086016
2171	0.087040
2181	0.087552
2191	0.088560
2201	0.088576
2211	0.089088
2221	0.088576
2231	0.090112
2241	0.089120
2251	0.090128
2261	0.090624
2271	0.090656
2281	0.090128
2291	0.090640
2301	0.092160
2311	0.092176
2321	0.092688
2331	0.092688
2341	0.092672
2351	0.093200
2361	0.093184
2371	0.093200
2381	0.094720
2391	0.094736
2401	0.095232
2411	0.095232
2421	0.095728
2431	0.096256
2441	0.096256
2451	0.096272
2461	0.096768
2471	0.098304
2481	0.097296
2491	0.097248
2501	0.098288
2511	0.098288
2521	0.098816
2531	0.098832
2541	0.099840
2551	0.100352
2561	0.100336
2571	0.100336
2581	0.100384
2591	0.101344
2601	0.101360
2611	0.100848
2621	0.101888
2631	0.102400
2641	0.102400
2651	0.102928
2661	0.102896
2671	0.103920
2681	0.103456
2691	0.107008
2701	0.105472
2711	0.105440
2721	0.105472
2731	0.105984
2741	0.106000
2751	0.106480
2761	0.109584
2771	0.107504
2781	0.106512
2791	0.108032
2801	0.107536
2811	0.107552
2821	0.108512
2831	0.108544
2841	0.109056
2851	0.109536
2861	0.109568
2871	0.109584
2881	0.109600
2891	0.110080
2901	0.112128
2911	0.112128
2921	0.111648
2931	0.112624
2941	0.112144
2951	0.113648
2961	0.113136
2971	0.113664
2981	0.121856
2991	0.114192
3001	0.113680
3011	0.114192
3021	0.114704
3031	0.115216
3041	0.114704
3051	0.115200
3061	0.116736
3071	0.116736
3081	0.116240
3091	0.116736
3101	0.116736
3111	0.117792
3121	0.117760
3131	0.117760
3141	0.119312
3151	0.119312
3161	0.119824
3171	0.118800
3181	0.119808
3191	0.120800
3201	0.120832
3211	0.120320
3221	0.120832
3231	0.121856
3241	0.122352
3251	0.122864
3261	0.122896
3271	0.122896
3281	0.122880
3291	0.122880
3301	0.124400
3311	0.124928
3321	0.124928
3331	0.124416
3341	0.124960
3351	0.125968
3361	0.124960
3371	0.125952
3381	0.125984
3391	0.127008
3401	0.126960
3411	0.127008
3421	0.132080
3431	0.127984
3441	0.128496
3451	0.129008
3461	0.128528
3471	0.130048
3481	0.130048
3491	0.131072
3501	0.136720
3511	0.131600
3521	0.130080
3531	0.131088
3541	0.132096
3551	0.132096
3561	0.132112
3571	0.132624
3581	0.133152
3591	0.134128
3601	0.133152
3611	0.134144
3621	0.134656
3631	0.134160
3641	0.134656
3651	0.135168
3661	0.135680
3671	0.136224
3681	0.136176
3691	0.136192
3701	0.137216
3711	0.137232
3721	0.138224
3731	0.137216
3741	0.138256
3751	0.138256
3761	0.138752
3771	0.139264
3781	0.140800
3791	0.140304
3801	0.140304
3811	0.140816
3821	0.140800
3831	0.141344
3841	0.141328
3851	0.141344
3861	0.141808
3871	0.142320
3881	0.142352
3891	0.143328
3901	0.143344
3911	0.143872
3921	0.144368
3931	0.144352
3941	0.144912
3951	0.145392
3961	0.145392
3971	0.145920
3981	0.145424
3991	0.146400
4001	0.146432
4011	0.146448
4021	0.147488
4031	0.147472
4041	0.147952
4051	0.148448
4061	0.148512
4071	0.148512
4081	0.148480
4091	0.148976
4101	0.149536
4111	0.150560
4121	0.150528
4131	0.150560
4141	0.151536
4151	0.155664
4161	0.152064
4171	0.151568
4181	0.152576
4191	0.153088
4201	0.152608
4211	0.152608
4221	0.154128
4231	0.156704
4241	0.154608
4251	0.154624
4261	0.155136
4271	0.156656
4281	0.155136
4291	0.156176
4301	0.156160
4311	0.156672
4321	0.156688
4331	0.157712
4341	0.157712
4351	0.158720
4361	0.158704
4371	0.159248
4381	0.159216
4391	0.159232
4401	0.158736
4411	0.159776
4421	0.160256
4431	0.160768
4441	0.160784
4451	0.161792
4461	0.162304
4471	0.162304
4481	0.162320
4491	0.162304
4501	0.162832
4511	0.163312
4521	0.163840
4531	0.165360
4541	0.163856
4551	0.163872
4561	0.164848
4571	0.164864
4581	0.164880
4591	0.165920
4601	0.165888
4611	0.166400
4621	0.166400
4631	0.167920
4641	0.167408
4651	0.167936
4661	0.167920
4671	0.168944
4681	0.168448
4691	0.168928
4701	0.168992
4711	0.168992
4721	0.169488
4731	0.170528
4741	0.171008
4751	0.171520
4761	0.171536
4771	0.172032
4781	0.172000
4791	0.173040
4801	0.172048
4811	0.173040
4821	0.173056
4831	0.174592
4841	0.174064
4851	0.174064
4861	0.174080
4871	0.174096
4881	0.175104
4891	0.175104
4901	0.175600
4911	0.176640
4921	0.177152
4931	0.176640
4941	0.177152
4951	0.178192
4961	0.181760
4971	0.178176
4981	0.178208
4991	0.179200
5001	0.179168
5011	0.179232
5021	0.180208
5031	0.180736
5041	0.180240
5051	0.180240
5061	0.180224
5071	0.181760
5081	0.181264
5091	0.181776
5101	0.182272
5111	0.182272
5121	0.182288
5131	0.183296
5141	0.183328
5151	0.184304
5161	0.184304
5171	0.184320
5181	0.184320
5191	0.185856
5201	0.184832
5211	0.185856
5221	0.187392
5231	0.186400
5241	0.186864
5251	0.187888
5261	0.187424
5271	0.187408
5281	0.188400
5291	0.188416
5301	0.189408
5311	0.190464
5321	0.189440
5331	0.190464
5341	0.189440
5351	0.190464
5361	0.190496
5371	0.190976
5381	0.192000
5391	0.191488
5401	0.191504
5411	0.192512
5421	0.192480
5431	0.193040
5441	0.193504
5451	0.193552
5461	0.194560
5471	0.194560
5481	0.194576
5491	0.194576
5501	0.195072
5511	0.195088
5521	0.195584
5531	0.195616
5541	0.196608
5551	0.196640
5561	0.197648
5571	0.197616
5581	0.198144
5591	0.198128
5601	0.197632
5611	0.198672
5621	0.199168
5631	0.199648
5641	0.200176
5651	0.199680
5661	0.200704
5671	0.200704
5681	0.200704
5691	0.206352
5701	0.201728
5711	0.202736
5721	0.202736
5731	0.202720
5741	0.203280
5751	0.203264
5761	0.203776
5771	0.203760
5781	0.203776
5791	0.204784
5801	0.205824
5811	0.205328
5821	0.205856
5831	0.205824
5841	0.206352
5851	0.206832
5861	0.206848
5871	0.207360
5881	0.207856
5891	0.207888
5901	0.207872
5911	0.208896
5921	0.208896
5931	0.208896
5941	0.208896
5951	0.210416
5961	0.209888
5971	0.209952
5981	0.212976
5991	0.211456
6001	0.210976
6011	0.211936
6021	0.213008
6031	0.215024
6041	0.213008
6051	0.212976
6061	0.212992
6071	0.214016
6081	0.213504
6091	0.214016
6101	0.214528
6111	0.215056
6121	0.216048
6131	0.215056
6141	0.216096
6151	0.216064
6161	0.217600
6171	0.217088
6181	0.217120
6191	0.217584
6201	0.218080
6211	0.218096
6221	0.218608
6231	0.219120
6241	0.218624
6251	0.219136
6261	0.220160
6271	0.220672
6281	0.220160
6291	0.221168
6301	0.221184
6311	0.221712
6321	0.222704
6331	0.222208
6341	0.222720
6351	0.223248
6361	0.223232
6371	0.223264
6381	0.224256
6391	0.224272
6401	0.226288
6411	0.225280
6421	0.228336
6431	0.225808
6441	0.225280
6451	0.225808
6461	0.225792
6471	0.226816
6481	0.227328
6491	0.226816
6501	0.227344
6511	0.228368
6521	0.228336
6531	0.228384
6541	0.228352
6551	0.229888
6561	0.229392
6571	0.229408
6581	0.229888
6591	0.230400
6601	0.230432
6611	0.231440
6621	0.231408
6631	0.231424
6641	0.232448
6651	0.232480
6661	0.233488
6671	0.232960
6681	0.233488
6691	0.233488
6701	0.234464
6711	0.237088
6721	0.235520
6731	0.237056
6741	0.236032
6751	0.236560
6761	0.235520
6771	0.236016
6781	0.236576
6791	0.237536
6801	0.238080
6811	0.237568
6821	0.237584
6831	0.238576
6841	0.239088
6851	0.239104
6861	0.240112
6871	0.239632
6881	0.239648
6891	0.240640
6901	0.240656
6911	0.242144
6921	0.241696
6931	0.241664
6941	0.241648
6951	0.241664
6961	0.242656
6971	0.242656
6981	0.243200
6991	0.243728
7001	0.244224
7011	0.243744
7021	0.243744
7031	0.244704
7041	0.244736
7051	0.245792
7061	0.245792
7071	0.246768
7081	0.248832
7091	0.246752
7101	0.247328
7111	0.247808
7121	0.248832
7131	0.248816
7141	0.248864
7151	0.252432
7161	0.249344
7171	0.249872
7181	0.250384
7191	0.250880
7201	0.250400
7211	0.250880
7221	0.251360
7231	0.252416
7241	0.251392
7251	0.251904
7261	0.252416
7271	0.251936
7281	0.252928
7291	0.253456
7301	0.252960
7311	0.253936
7321	0.253952
7331	0.254944
7341	0.254992
7351	0.270848
7361	0.262656
7371	0.258576
7381	0.256000
7391	0.257040
7401	0.256512
7411	0.257520
7421	0.258016
7431	0.257552
7441	0.258064
7451	0.258576
7461	0.259088
7471	0.259584
7481	0.259072
7491	0.260096
7501	0.259584
7511	0.260592
7521	0.261120
7531	0.261120
7541	0.261120
7551	0.262144
7561	0.262144
7571	0.262656
7581	0.263168
7591	0.263168
7601	0.263168
7611	0.263696
7621	0.264208
7631	0.264224
7641	0.265200
7651	0.265200
7661	0.265216
7671	0.266256
7681	0.266240
7691	0.266720
7701	0.266256
7711	0.267296
7721	0.267760
7731	0.267296
7741	0.267280
7751	0.269296
7761	0.269296
7771	0.268800
7781	0.269312
7791	0.270320
7801	0.270304
7811	0.274416
7821	0.270848
7831	0.270368
7841	0.271360
7851	0.272416
7861	0.271872
7871	0.272896
7881	0.277472
